index,OCC_COMPL,LAST_N,FIRST_N,PER_GRP,PER_COMPL,LOC_PAR,LOC_STR,NUM,LOC_COMPL,NORM_PARISH,DISTRICT,geometry,geometry_from,profession,profession_eng,category,category_eng,PAGE_NUM
1130,,Antoniazzi,"Angela,",,,s. Giacomo,calle del tintor,1525,,giacomo,Santa Croce,POINT (12.327633047900166 45.43963065425435),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,176
1131,,Bazo,"Bernardo,",,,s. M. del Carmine,calle del fabbro,3284,,maria dei carmini,Dorsoduro,POINT (12.325285462707987 45.43376110106046),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,176
1132,,Bazo,"Pietro,",,,s. Canciano,in campo,5998,,canciano,Cannaregio,POINT (12.338453588260592 45.43964234270165),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,176
1133,,Bertolan,"Girolamo,",,,"s, Gio. in Bragora",calle crosera,3984,,giovanni in bragora,Castello,POINT (12.343032718160424 45.43416785447599),cadaster,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,176
1134,,Bettoni,"Maria,",,,s. Bartolammeo,corte dell’ ancore,1938,,bartolomeo,San Marco,POINT (12.333442340809865 45.43391074897666),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,176
1135,,Binetti,"Maddalena,",,,s. Francesco,salizzada,3146,,francesco,Castello,POINT (12.347335618583617 45.436998141882626),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,176
1136,,Biscaro,"Stefano,",,,s. M. Formosa,salizzada s. Lio.,5567,,maria formosa,Castello,POINT (12.33813466366827 45.43721335414667),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,176
1137,,Bonzio,"Giuseppe,",,,s. Felice,campiello del pistor,4818,,felice,Cannaregio,POINT (12.33730883012152 45.44277765166287),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,176
1138,,Borella,"Lucchini; Angela,",,,s. Gio. in Bragora,salizz. s. Ant.,3473,,giovanni in bragora,Castello,POINT (12.346233216221023 45.43546680197099),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1139,,Bortoluzzi,"Vincenzo,",,,s. Canciano,calle dell’ erbe,6122,,canciano,Cannaregio,POINT (12.340293112940786 45.43902582159417),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1140,,Boscolo,"Antonio,-s.",,,Simeone Prof. ,riello terra,1286,,simeon profeta,Santa Croce,POINT (12.326659502071998 45.44162367230127),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1141,,Bottega,"Anastasio,",,,s. M. del Carmine,campiello vida,3306,,maria dei carmini,Dorsoduro,POINT (12.324613465839485 45.434219862300736),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1142,,Campanato,"Vincenzo,",,,s..Giacomo dall’ orio,calle savie,1380,,giacomo dall'orio,Santa Croce,POINT (12.326971083019275 45.44055405883641),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1143,,Caratti,"Giovanna,",,,ss. Ermagora e Fort.,rio terra due ponti,1587,,ermargora e fortunato,Cannaregio,POINT (12.326956202883633 45.443624244751156),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1144,,Casagrande.,"Dionisio,",,,s. Gio. in Bragora,calle pestrin,3895,,giovanni in bragora,Castello,POINT (12.347664154422647 45.434657639812016),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1145,,Caspi,"Giuseppe,",,,s. Pantaleone,calle Foscari,3856,,pantalon,Dorsoduro,POINT (12.32600402314206 45.43528838913836),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1146,,Cesare,"Maddalena,",,,s. M. Formosa,salizzada s. Lio,6368,,maria formosa,Castello,POINT (12.342580788243886 45.438805758244904),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1147,,Chiaranda,"Colussi; Margherita,",,,s. Francesco,calle dell’ olio,3054,,francesco,Castello,POINT (12.348594319529372 45.437295523270826),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1148,,Chiodo,"Vincenzo,",,,s. M. Formosa,calle del paradiso,5731,,maria formosa,Castello,POINT (12.339505206699027 45.43725613317555),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1148,,Chiodo,"Vincenzo,",,,s. M. Formosa,calle del paradiso,5731,,maria formosa,Castello,POINT (12.339505206699027 45.43725613317555),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1149,,Chiodo,"Vincenzo,",,,s. M. Formosa,calle del paradiso,5760,,maria formosa,Castello,POINT (12.339571546242134 45.437281688927285),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1149,,Chiodo,"Vincenzo,",,,s. M. Formosa,calle del paradiso,5760,,maria formosa,Castello,POINT (12.339571546242134 45.437281688927285),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1150,,Cicogna,"Regina,",,,s. M. del Giglio,piscina s. Moisé,2017,,maria del giglio,San Marco,POINT (12.334409748817638 45.43319777180729),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1151,,Cicogna; Depita,"Vincenzo; Giacomo,",,,s. Marziale.,fondamenta Ormesini,2800,,marziale,Cannaregio,POINT (12.328016566583523 45.44567605969689),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1152,,Cimegotto,"Vincenzo,",,,s. Giacomo,campo Tedeschi,983,,giacomo,Santa Croce,POINT (12.325329853098859 45.4399250471086),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1153,,Collaussi,"Maria,",,,s. Silvestro,calle della donzella,888,,silvestro,San Polo,POINT (12.33330374175567 45.43851560101121),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1154,,Collaussi,"Elisabetta,",,,s. Silvestro,calle della donzella,964,,silvestro,San Polo,POINT (12.33329004109288 45.43848035198345),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1155,,Costantini,"Antonio,",,,s. M. Gloriosa dei Frari,calle saoneri,2717,,maria gloriosa dei frari,San Polo,POINT (12.328489156278115 45.43642250940043),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1156,,Cristofoli,"Luigi,",,,s. M. del Carmine,calle del pistor,2776,,maria dei carmini,Dorsoduro,POINT (12.325516878058437 45.43285778407764),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1157,,Dalle Ore,"Giuseppe,;s.",,,Silvestro,ruga vecchia,427,,silvestro,San Polo,POINT (12.33403122400637 45.43895684765104),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1158,,Dalla Torre,"Samuele,",,,s. Pietro,fond. s. Anna,997,,pietro,Castello,POINT (12.356263755869623 45.432482656885504),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1159,,Dauros,"Vettore,.ss.",,,Ermag. e Fortunato,all’ anconetta,1915,,ermargora e fortunato,Cannaregio,POINT (12.329272788053213 45.44404867556682),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1160,,Davilla,"Giuseppe,",,,s. Pantaleone,salizzada,110,,pantalon,Dorsoduro,POINT (12.333037339792948 45.430654201927965),cadaster,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
1161,,De Paoli,"Maria,",,,s. M. del Rosario,calle Molin,389,,madonna del rosario,Dorsoduro,POINT (12.332098115740093 45.429968388098885),contemporary,cenciajuoli,Mops seller,Articoli per Indumenti non di pregio,Non-prestigious garment supplies,177
